"OTUs";"taxa";"Aldex.kw.0.05";"Aldex.kw.0.01";"Aldex.kw.0.001";"Log_ratio.max";"glmnet_sign.CAU";"glmnet_sign.CYM";"simper.props";"CAU_T0_1";"CAU_T0_2";"CAU_T0_3";"CAU_T1_1";"CAU_T1_2";"CAU_T1_3";"CAU_T2C_1";"CAU_T2C_2";"CAU_T2C_3";"CAU_T2HW_1";"CAU_T2HW_2";"CAU_T2HW_3";"CYM_T0_1";"CYM_T0_2";"CYM_T0_3";"CYM_T1_1";"CYM_T1_2";"CYM_T1_3";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU11";"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Sulfurovaceae.g__Sulfurovum.__";1;1;0;0;0;1;1;0,0213546160483175;0,00965434777795;0,0231956802798692;0,0185616329134109;0,0128138075313808;0,005890765459003;0,0133206781436146;0,0109000875630303;0,0121198434206564;0,00697904688897406;0,00919361478296666;0,0163856847086661;0,0210648067014826;0,0118912211767139;0,0161113275025672;0,0134411742473698;0,0202303422530504;0,00453393785838112;0,0128992628992629;0,013170495618416;0,0123037323037323;0,00513855961523192;0,00667301184433164;0,00876315028580325
"OTU12";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidetes_BD2.2.g__Bacteroidetes_BD2.2.__";1;1;1;0;0;1;1;0,0266239368914089;0,0298266203139877;0,0228154232261008;0,0238239515228831;0,0281773012552301;0,028193952601471;0,0261504222033122;0,0215284277906942;0,0259334537789822;0,0302159192538648;0,0253396148744454;0,0276249630286897;0,00597595597770846;0,00865991107434598;0,00674551184448143;0,00989534300419865;0,00675703212239276;0,0131047776067112;0,00882985257985258;0,0102254121572221;0,00986357786357786;0,00958517190920744;0,0112732656514382;0,0112319565845955
"OTU13";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.g__uncultured.__";1;1;0;0;1;0;1;0,0219400961419943;0,0335687872279179;0,0254772226024793;0,0236644873225961;0,023241370292887;0,0173317897030782;0,0384892321790928;0,0251517255955796;0,0154320987654321;0,0232847834419318;0,0343045327722636;0,0242137434684019;0,0247274893974975;0,038232861131217;0,0317623313622039;0,043388330367021;0,0185512727509842;0,0321861096631066;0,0249539312039312;0,0278341279566681;0,0392895752895753;0,0280862552037842;0,0315566835871404;0,0376103734347546
"OTU14";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__Desulfosarcina.__";1;1;1;0;0;0;1;0,0182423271292987;0,05325391377516;0,0176059015894745;0,0212725243182905;0,0288964435146444;0,0227798964859711;0,0294233160960922;0,0182674597662973;0,0204004817825956;0,026862143860994;0,0343274024607785;0,0200138026224983;0,00760576215344713;0,00925447213318168;0,00989695832300556;0,0100533936216268;0,00903111169072518;0,0128380753797476;0,00919182169182169;0,0113169465868954;0,0104607464607465;0,0119445988407047;0,0145621827411168;0,011087386846378
"OTU15";"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae.g__uncultured.s__uncultured_bacterium";1;1;1;0;0;0;1;0,00317391840256379;0,0036093089169859;0,00334626207316146;0,0040184978472333;0,00496861924686192;0,00296240806319804;0,0017019048242456;0,00338174461789305;0,00383920505871725;0,00301839785358375;0,00228696885148424;0,00212954747116238;0,000753566296309278;0,000542860097197808;0,00077900924188237;0,000590971873861864;0,000823233105381988;0,00247305701366243;0,00126140751140751;0,000937072010379875;0,000504504504504504;0,000544483138037819;0,000941201353637902;0,000934142923867352
"OTU16";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.__.__";1;1;1;0;0;1;1;0,0510292123752003;0,0583246606585328;0,0535401931705833;0,0524318290543773;0,0545894351464435;0,0714723508580768;0,0519408260784185;0,0569461638334491;0,0688422161999398;0,0618851411779737;0,0602616292366098;0,0522330671398994;0,0152465739020714;0,0172164202254162;0,019191954959102;0,020773348542842;0,0175405707206142;0,0297979124489326;0,0164531414531415;0,0202036844435749;0,0218790218790219;0,0260444434361423;0,025074027072758;0,0232534863548409
"OTU17";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidetes_VC2.1_Bac22.f__Bacteroidetes_VC2.1_Bac22.g__Bacteroidetes_VC2.1_Bac22.__";1;1;0;0;0;0;1;0,000801183286084063;0,00287858993379243;0,00110274545592821;0,00255142720459257;0,00617808577405858;0,00146417869790248;0,0037310990377692;0,00452912225610677;0,0022583559168925;0,00167688769643542;0,00439098019484975;0,00349009168884945;0,000753566296309278;0,00180953365732603;0,00127474239580751;0,00144307085477897;0,00126337753796246;0,00317618106656645;0,00131625131625132;0,00195652397771622;0,00142084942084942;0,00237077033020634;0,00255922165820643;0,00214630457507618
"OTU18";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Thiotrichaceae.g__uncultured.s__uncultured_sediment";1;1;0;0;0;1;1;0,010292123752003;0,00750647682735103;0,0104950946840064;0,00644235369159624;0,00657034518828452;0,00674203214383002;0,00988413955619559;0,00881669132522117;0,00587172538392051;0,0052223073974703;0,0081416091112839;0,00912944888100168;0,00771091093897865;0,00672112501292524;0,00869303494918735;0,0060471540581214;0,00741724877126346;0,00577046636521233;0,00488109863109863;0,00629176921255059;0,00712483912483913;0,00846217543700443;0,00585871404399323;0,00539356331042459
"OTU19";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__uncultured.__";1;1;1;0;0;0;1;0,0207383212128682;0,0146808086623414;0,017263670241083;0,0188486684739276;0,0191880230125523;0,0254358485426314;0,0189173267002684;0,0252423080407017;0,024390243902439;0,0187971125590903;0,0203311530896949;0,0223010943507838;0,00744803897514984;0,00584220866508117;0,00821500655075953;0,0136129683967483;0,00542029717900022;0,0159172738183273;0,00929054054054054;0,0116670614039604;0,0121287001287001;0,0193631815964699;0,0211928934010152;0,0212406307688886
"OTU20";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea.s__uncultured_bacterium";1;1;0;0;0;0;0;0,00203377295698262;0,00400788290781869;0,00269982508175527;0,00366767660660182;0,00297463389121339;0,00224734404794334;0,00445113569418079;0,00259669676016788;0,00293586269196025;0,00261913887824198;0,00352193203128573;0,00437740313516711;0,00318951316112299;0,00403267500775514;0,00300980843454552;0,00385506071205239;0,00215996804877452;0,00358835723551019;0,00278606528606529;0,00362471810608479;0,0036036036036036;0,00375466497271913;0,00256979695431472;0,00309156824803719
