"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T2C";"glmnet_sign.ext.3.T2HW";"glmnet_sign.ext.5.T2C";"glmnet_sign.ext.5.T2HW";"glmnet_sign.ext.10.T2C";"glmnet_sign.ext.10.T2HW";"Aldex.kw.noadjust.0.05";"simper.rel";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU21";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zeaxanthinibacter;s__uncultured_bacterium";0;0;0;0;0;0;0;0;1;0,000943313443313443;0,00134897179516224;0,00130759330759331;0,00475288405912179;0,00100465313028765;0,000989746669335646
"OTU22";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__uncultured_Desulfobacteraceae";1;0;0;0;1;0;0;0;0;0,000581344331344331;0,000834097064184284;0,000720720720720721;0,000385675556110122;0,000465313028764805;0,00053379595649563
"OTU23";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae;__";0;0;0;0;1;0;1;0;1;0,00342225342225342;0,00422197279401922;0,00370656370656371;0,00484363124879476;0,00528764805414552;0,00432597139743333
"OTU24";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__;__";0;0;0;0;0;0;0;0;1;0,00352097227097227;0,00271853857956359;0,00186357786357786;0,00212121555860567;0,00482233502538071;0,00301372300438158
"OTU25";"d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeia;f__Heimdallarchaeia;g__Heimdallarchaeia;s__uncultured_archaeon";1;1;0;0;0;1;0;0;1;0,000614250614250614;0,000813502074945166;0,000833976833976834;0,00258629490567964;0,00158629441624365;0,00187940659682836
"OTU26";"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031;s__uncultured_organism";1;1;0;0;0;1;0;0;1;0,00183178308178308;0,00220366384858564;0,00247104247104247;0,00393615935206507;0,00409263959390863;0,00380329619003136
"OTU27";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ulvibacter;s__Aureitalea_sp.";1;0;1;0;1;0;1;0;1;0,00417909792909793;0,00410870035320407;0,00335649935649936;0,00073732091609288;0,00119500846023689;0,00151242187673762
"OTU28";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Candidatus_Thiobios;s__uncultured_sediment";0;0;0;0;0;0;0;0;1;0,00146981396981397;0,00179176406380328;0,00205920205920206;0,00332361582177252;0,00269670050761421;0,00220190832054447
"OTU29";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Milano-WF1B-44;f__Milano-WF1B-44;g__Milano-WF1B-44;s__uncultured_gamma";0;0;0;0;0;0;0;1;1;0,00201825201825202;0,00229634130016167;0,00187387387387387;0,000907471896729698;0,00256979695431472;0,00243544405151131
"OTU30";"d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__PHOS-HE36;g__PHOS-HE36;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0;0,00078975078975079;0,000751717107227811;0,000586872586872587;0,000499109543201334;0,000454737732656514;0,000689486443806855
"OTU31";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;__;__;__";1;0;1;0;0;0;1;0;0;0,00248990873990874;0,00243020873021594;0,00274903474903475;0,00191703438184149;0,00179780033840948;0,00205733858232691
"OTU32";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__uncultured;__";0;0;0;0;0;0;0;0;0;0,00127237627237627;0,00144164924673827;0,00131788931788932;0,00157673242056785;0,00116328257191201;0,00132336914214541
"OTU33";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22;g__Bacteroidetes_VC2.1_Bac22;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0;1;0,00190856440856441;0,0032951982782589;0,00222393822393822;0,00267704209535261;0,0030668358714044;0,00301372300438158
"OTU34";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;__";1;0;1;0;1;0;1;0;1;0,00401456651456651;0,00364531309532391;0,00386100386100386;0,00115702666833037;0,0011844331641286;0,00183492360045373
"OTU35";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__LCP-80;s__uncultured_delta";0;0;0;0;0;0;0;0;0;0,000383906633906634;0,000401602290162803;0,000277992277992278;0,000635230327710789;0,000433587140439932;0,000489312960120994
"OTU36";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Woeseiaceae;g__Woeseia;__";1;0;0;0;0;0;0;0;1;0,0248332748332748;0,0212437314001503;0,019994851994852;0,0203840874802908;0,0148582910321489;0,0136006761415449
"OTU37";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade;__";0;1;0;0;0;1;0;0;1;0,00551728676728677;0,00541648216988807;0,00474646074646075;0,00458273307848498;0,00378595600676819;0,00418140165921576
"OTU38";"Unassigned;__;__;__;__;__;__";0;0;0;0;0;1;0;0;1;0,00572569322569323;0,00506636735282306;0,00474646074646075;0,004117653731411;0,00760363790186125;0,0050376993394275
